Region;chocolatine;Pain au chocolat;Lat;Long
Midi-Pyrenees;65%;35%;44.02;1.35
Aquitaine;62%;38%;44.98;0.41
Champagne-Ardenne;18%;82%;49.5;4.36
Corsica;23%;77%;42.19;9.05
Poitou-Charentes;42%;58%;45.65;0.14
Centre-Val de Loire;21%;79%;47.64;1.59
Picardy;27%;73%;48.07;-3.31
Auvergne;21%;79%;45.74;3.2
Lower Normandy;18%;82%;48.7;0.02
Ile-de-France;27%;73%;48.68;2.5
Nord-Pas-de-Calais;19%;81%;50.85;1.78
Burgundy;20%;80%;46.38;4.54
Languedoc-Roussillon;36%;64%;43.51;2.35
Upper Normandy;24%;76%;49.38;3.19
Pays de la Loire;26%;74%;47.42;-0.82
Provence-Alpes-Co´te d'Azur;24%;76%;44.08;5.97
Rhone-Alpes;29%;71%;45.46;4.62
Alsace;22%;78%;47.77;-0.27
Brittany;28%;72%;48.08;-3.08
Limousin;50%;50%;45.89;0.9
Lorraine;27%;73%;48.72;7.08
Franche-Comte;20%;80%;47.28;4.99
